id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
161394,surfer room 15mins to downtown nyc!,772300,alain,brooklyn,williamsburg,40.71309,-73.94128,private room,90,6,3,2014-08-31,0.03,1,0
167017,gorgeous duplex + garden,795889,adam,brooklyn,park slope,40.67853,-73.98089,entire home/apt,219,5,2,2014-08-31,0.03,1,0
170420,the happy home!,812814,lena,manhattan,east harlem,40.7932,-73.94007,entire home/apt,79,2,15,2016-02-15,0.16,1,0
174527,cozy private family home in bushwick,833926,kris,brooklyn,bushwick,40.69055,-73.92357,entire home/apt,150,2,11,2018-10-28,0.46,1,0
187986,comfort at crossroads of downtown,904833,daniel,manhattan,chelsea,40.73862,-73.99758,entire home/apt,250,1,2,2015-08-28,0.02,1,0
196010,huge bklyn loft w private roofdeck,953565,vanessa,brooklyn,park slope,40.67595,-73.98053,entire home/apt,265,5,15,2015-06-14,0.16,1,0
203901,beautiful ues apartment,1000477,elizabeth,manhattan,upper east side,40.7694,-73.9572,entire home/apt,190,1,8,2016-09-18,0.08,1,0
206316,"sunny, spacious studio in ft.greene",1014639,brett,brooklyn,fort greene,40.68765,-73.97073,entire home/apt,157,2,4,2018-08-27,0.18,1,0
208148,central bedford avenue apartment,1024355,martina,brooklyn,williamsburg,40.71973,-73.95582,entire home/apt,185,3,14,2015-08-31,0.15,1,0
212544,quiet one bedroom in park slope,1096084,daniel,brooklyn,gowanus,40.67688,-73.9859,entire home/apt,100,7,9,2016-06-23,0.1,1,0
224510,"beautiful apartment, great location",991380,stefania,brooklyn,boerum hill,40.68653,-73.98562,entire home/apt,230,4,18,2018-07-05,0.21,1,0
225297,quiet sunny studio midtown,1173599,gaya,manhattan,midtown,40.74267,-73.98569,entire home/apt,125,4,3,2018-12-26,0.03,1,0
229874,oversized studio in park slope,507304,derrick,brooklyn,sunset park,40.66293,-73.99833,entire home/apt,200,5,1,2012-01-02,0.01,1,0
239766,lower east side/chinatown 1 bedroom,1257309,austin,manhattan,lower east side,40.71693,-73.98948,entire home/apt,100,5,8,2018-05-18,0.11,1,0
246351,"sweet apt, steps from gramercy park",1292250,jerry,manhattan,gramercy,40.73834,-73.9823,entire home/apt,135,1,5,2015-08-17,0.06,1,0
249414,large & bright 900ft² 1br in wv,1306587,andy,manhattan,west village,40.73291,-74.00059,entire home/apt,246,4,6,2017-06-28,0.16,1,0
254409,husband & wife art-filled apartment,1336542,stephanie,brooklyn,clinton hill,40.68197,-73.96549,entire home/apt,110,1,2,2014-01-13,0.03,1,0
261259,apartment in best location in nyc,1370358,keiko,manhattan,west village,40.72953,-74.00462,entire home/apt,145,7,11,2015-05-27,0.12,1,0
261674,chelsea/west village - 2bdrm apt,1372786,lindsey,manhattan,chelsea,40.74025,-74.00161,private room,95,5,20,2017-04-01,0.33,1,0
265145,studio sublet in hell's kitchen,1390947,akiko,manhattan,theater district,40.76217,-73.98411,entire home/apt,200,5,8,2015-01-08,0.09,1,0
272706,"sunny, spacious apt. in  ft. greene",1402817,valerie,brooklyn,fort greene,40.69135,-73.97321,entire home/apt,88,5,7,2017-06-18,0.08,1,0
278145,large room in a huge ny apartment.,1452026,heidi,queens,astoria,40.77117,-73.91905,private room,30,5,3,2017-06-20,0.03,1,0
278876,"large, furnished room in a 2 bedroom!",368528,ally,brooklyn,crown heights,40.66984,-73.95141,private room,64,1,1,2017-03-18,0.04,1,0
281756,authentic ny charming artist loft,1468658,barbara,brooklyn,greenpoint,40.73321,-73.95587,entire home/apt,140,5,14,2019-06-19,0.16,1,0
283550,hells kitchen ground fl 1-bedroom,1476954,jose,manhattan,hell's kitchen,40.76001,-73.99133,entire home/apt,175,3,10,2019-04-21,0.23,1,0
289037,"2br in cobble hill, brooklyn, ny",632334,michael,brooklyn,carroll gardens,40.68353,-73.9914,entire home/apt,189,2,13,2016-09-05,0.18,1,0
289703,beautiful soho luxury apartment,815741,geoff,manhattan,soho,40.7253,-73.99916,entire home/apt,249,5,8,2016-11-26,0.11,1,0
291812,"entire apartment in astoria, 15mins from manhattan",1509416,natalia,queens,astoria,40.76856,-73.91828,entire home/apt,70,5,1,2016-08-30,0.03,1,0
294239,nyc summer getaway | full home 2br,1521432,carmen,queens,astoria,40.76444,-73.92607,entire home/apt,192,3,7,2017-04-18,0.08,1,0
294297,"lovely apt in williamsburg, bk",1521604,summer,brooklyn,williamsburg,40.711,-73.96225,entire home/apt,105,3,11,2019-06-23,0.16,1,0
294717,modern apartment w/ gorgeous view,1523610,marissa,brooklyn,williamsburg,40.71095,-73.95239,private room,125,3,17,2015-05-20,0.19,1,0
296658,sublet in brooklyn/lefferts gardens,1530106,glenn,brooklyn,crown heights,40.66469,-73.96091,private room,44,5,2,2017-09-21,0.09,1,0
297611,inexpensive apartment in exchange for cat-care,997124,alison,brooklyn,fort greene,40.69309,-73.97074,private room,35,3,1,2018-05-13,0.07,1,0
302758,sunny 1br east harlem apartment,8605,dimitry,manhattan,east harlem,40.7968,-73.93611,entire home/apt,150,7,12,2016-03-26,0.14,1,0
306702,spacious + sunny studio in ft. greene brooklyn!,1577493,tina,brooklyn,fort greene,40.68786,-73.97421,private room,135,3,16,2018-09-01,0.18,1,0
321014,big bright e village 2br (baby nursery),1644452,erin,manhattan,gramercy,40.73294,-73.98282,entire home/apt,245,5,18,2018-01-02,0.21,1,0
327521,"lovely studio in east village, ny",82896,esther,manhattan,east village,40.725,-73.98851,entire home/apt,150,5,1,2015-11-16,0.02,1,0
346248,cosy apartment in west village,1755339,julie,manhattan,greenwich village,40.72886,-74.00013,private room,100,3,7,2015-05-31,0.09,1,0
367042,eastern parkway brooklyn 1br flat,774128,andre,brooklyn,crown heights,40.66847,-73.94875,entire home/apt,125,5,1,2014-09-04,0.02,1,0
371138,"comfy brooklyn 2bd, w/ backyard",1869567,max,brooklyn,greenpoint,40.72488,-73.94013,entire home/apt,190,2,5,2015-10-12,0.1,1,0
377217,great apt on the uws - a rare find!,1895957,ido,manhattan,upper west side,40.78161,-73.97898,entire home/apt,145,3,22,2017-04-14,0.25,1,0
385657,beautiful loft/10 min to manhattan!,1930204,sophia,brooklyn,williamsburg,40.704,-73.93285,private room,70,5,2,2015-05-15,0.02,1,0
403668,"gorgeous sunny, spacious 1 bdrm in east village",2013117,katya,manhattan,east village,40.72812,-73.97966,entire home/apt,147,2,16,2019-01-02,0.18,1,0
412180,"morocco in brooklyn with the flyest loft, amazing!",2051961,kim,brooklyn,bedford-stuyvesant,40.69321,-73.9442,entire home/apt,95,5,9,2018-09-03,0.1,1,0
419792,great apt ideal location 900 sf,2087636,maddine,manhattan,lower east side,40.71804,-73.98565,entire home/apt,200,7,4,2019-05-04,0.22,1,0
424889,sunny and zen w. village studio of your own,2076827,shelley,manhattan,west village,40.73041,-74.00498,entire home/apt,129,7,5,2015-05-21,0.09,1,0
425784,"an airy, comfy, bookish refuge!",2116807,rafil,brooklyn,vinegar hill,40.70279,-73.98284,entire home/apt,190,4,8,2018-01-02,0.09,1,0
430427,"very clean, quiet bedroom available",820046,elaine,manhattan,washington heights,40.83559,-73.94095,private room,60,2,13,2017-01-31,0.15,1,0
430665,lux one-bed central park view uws,2141109,kishore,manhattan,upper west side,40.79234,-73.96482,entire home/apt,250,1,8,2014-08-22,0.09,1,0
436916,room for the summer,2169825,serge,manhattan,harlem,40.82669,-73.94281,private room,55,2,7,2016-10-11,0.08,1,0
452068,"spacious 4 bedroom house, new york",2246071,tamara,brooklyn,kensington,40.64205,-73.97173,entire home/apt,200,1,3,2015-08-16,0.06,1,0
453161,"family friendly, sunny new condo in mccarren park",2107905,laura,brooklyn,greenpoint,40.72183,-73.94908,entire home/apt,260,2,7,2018-06-23,0.09,1,0
454334,private spacious studio available,2257289,toni,manhattan,harlem,40.81669,-73.94267,private room,65,1,3,2014-12-31,0.03,1,0
462454,beautiful lower east side apt! women only.,2298239,sunserae,manhattan,lower east side,40.71746,-73.98782,private room,89,5,4,2018-03-24,0.06,1,0
470498,*unique master br in battery park!*,2334269,filip,manhattan,battery park city,40.71012,-74.01504,private room,65,2,8,2015-12-22,0.13,1,0
472052,luxury doorman bldg nr central park,2341078,george,manhattan,upper west side,40.77137,-73.98943,entire home/apt,180,5,13,2014-08-22,0.15,1,0
472376,great brooklyn studio/1br!,1689040,rich,brooklyn,prospect heights,40.67796,-73.96458,entire home/apt,115,2,10,2016-05-23,0.17,1,0
473777,bright modern artist's apartment,2348973,koren,brooklyn,williamsburg,40.71285,-73.94383,entire home/apt,155,5,10,2017-02-19,0.12,1,0
475216,studio apt in park slope- brooklyn!,2355439,kara,brooklyn,sunset park,40.66387,-73.99077,entire home/apt,100,2,17,2015-07-27,0.2,1,0
476899,nyc studio in st marks place & 1ave,2363997,teresa,manhattan,east village,40.72693,-73.98521,entire home/apt,155,6,17,2018-10-11,0.2,1,0
478832,gorgeous 2 bdrm in carroll gardens,2371814,jennifer,brooklyn,carroll gardens,40.67579,-73.99968,entire home/apt,150,6,2,2014-05-20,0.03,1,0
490989,cat lovers: 3-story park slope townhouse with cat!,2427385,andy,brooklyn,park slope,40.67996,-73.98027,entire home/apt,68,3,2,2017-03-29,0.05,1,0
503529,heart of soho the perfect one bedroom apt,2483293,eric,manhattan,soho,40.72701,-74.0011,entire home/apt,198,3,9,2019-02-23,0.1,1,0
503585,charming & spacious one bedroom,2483766,rebecca (marks),brooklyn,bedford-stuyvesant,40.68607,-73.95839,entire home/apt,100,5,4,2013-07-14,0.05,1,0
504322,sunny 1bd in greenwich village,471928,mahalia,manhattan,greenwich village,40.72903,-74.00028,entire home/apt,180,3,18,2017-07-01,0.21,1,0
505029,spacious fabulous sunny loft for 2 wks in fall,2490471,ann,manhattan,east village,40.72454,-73.97944,entire home/apt,175,4,13,2018-11-16,0.17,1,0
505231,"enjoy a 1 bedroom to share, nyc",2490915,catherine,manhattan,upper east side,40.77799,-73.95223,private room,80,1,1,2012-06-22,0.01,1,0
510454,"gramercy pk area, w rooftop gdn!",2515124,jacqueline,manhattan,kips bay,40.73951,-73.98146,entire home/apt,145,3,2,2016-06-23,0.02,1,0
511436,"wake up to the skyline of the city, prime location",2519356,darya,brooklyn,williamsburg,40.7139,-73.96553,entire home/apt,96,3,1,2018-05-26,0.07,1,0
511733,"artist loft @ bushwick, brooklyn",1840766,samantha,brooklyn,bushwick,40.70753,-73.92048,entire home/apt,120,5,3,2015-09-20,0.04,1,0
511960,wonderful east village floor thru,2521848,gay,manhattan,east village,40.73044,-73.98683,entire home/apt,160,1,15,2016-05-09,0.18,1,0
516461,great studio apt in midtown west!,2542895,aaron,manhattan,chelsea,40.75086,-73.99776,entire home/apt,130,5,9,2016-08-04,0.1,1,0
516643,"williamsburg apt, close to metro l",2543761,stephane,brooklyn,williamsburg,40.71915,-73.95581,entire home/apt,150,3,1,2013-01-04,0.01,1,0
517626,above graham stop - l train,2438262,walker,brooklyn,williamsburg,40.71577,-73.94084,private room,95,1,10,2014-12-03,0.14,1,0
521522,beautiful 3 room studio in brooklyn,2440317,amelia,brooklyn,south slope,40.66777,-73.98367,private room,150,4,5,2012-12-31,0.06,1,0
525412,beautiful sunny nolita/soho apt,1104814,robert,manhattan,nolita,40.72246,-73.99552,entire home/apt,150,5,5,2015-06-28,0.06,1,0
534897,"chelsea apt- space, light, beauty!",2426404,judith & reid,manhattan,chelsea,40.74552,-74.0006,entire home/apt,230,6,6,2015-06-12,0.09,1,0
540489,large + bright private bedroom in nolita,2656413,anton,manhattan,little italy,40.72006,-73.99579,private room,58,6,18,2019-01-20,0.21,1,0
546504,brooklyn heights 1brm private deck,2687009,jeff,brooklyn,brooklyn heights,40.69271,-73.99365,entire home/apt,135,4,5,2016-05-16,0.06,1,0
549873,1 br with garden--east village,2702563,james,manhattan,east village,40.72564,-73.98252,entire home/apt,90,2,5,2015-05-25,0.09,1,0
550288,cozy upper east side 1 bedroom,2684478,brian,manhattan,upper east side,40.78024,-73.94813,entire home/apt,160,4,16,2019-02-12,0.2,1,0
560406,charming old school 1br in c. gardens brooklyn,2755668,annie,brooklyn,carroll gardens,40.68343,-73.99189,entire home/apt,90,4,1,2012-07-11,0.01,1,0
563496,studio apartment greenwich village,2770985,aaron,manhattan,greenwich village,40.73481,-73.99845,entire home/apt,145,5,1,2012-09-05,0.01,1,0
565814,bright friendly room in brooklyn,532819,heather,brooklyn,bedford-stuyvesant,40.68328,-73.9379,private room,50,2,1,2016-12-28,0.03,1,0
567195,beautiful garden duplex in brooklyn,2790324,erin,brooklyn,bedford-stuyvesant,40.68269,-73.94004,entire home/apt,150,5,3,2015-08-17,0.04,1,0
570218,duplex loft in fort greene,2805772,christopher,brooklyn,fort greene,40.68522,-73.97771,entire home/apt,130,2,11,2019-05-06,0.13,1,0
576916,"beautiful, quiet, spacious 1br - uws by parks",2837527,alexandra,manhattan,upper west side,40.79785,-73.97202,entire home/apt,165,4,4,2017-08-22,0.05,1,0
577703,romantic creative retreat: feel the glow,2841175,ina,manhattan,east village,40.73047,-73.98229,entire home/apt,100,5,6,2012-09-14,0.07,1,0
578941,beautiful park slope 2 bedroom,2847655,gideon,brooklyn,park slope,40.66732,-73.98233,entire home/apt,159,2,4,2015-09-21,0.08,1,0
582272,privet room in greenpoint +backyard *location,2712129,raziel,brooklyn,greenpoint,40.72437,-73.94847,private room,75,5,1,2018-11-13,0.13,1,0
587519,huge bdrm in new wilibrg 3 bed loft,2897835,tim,brooklyn,williamsburg,40.71099,-73.95217,private room,48,5,1,2015-03-31,0.02,1,0
592785,adorable 1 bedroom,2932668,stephanie,brooklyn,bedford-stuyvesant,40.6877,-73.95824,entire home/apt,140,3,16,2017-04-17,0.27,1,0
592853,a gem in the city,2926593,valerie,queens,ridgewood,40.70001,-73.90698,entire home/apt,75,2,17,2017-01-01,0.2,1,0
593000,cozy 1bd manhattan close central pk,2927446,marie-jeanne,manhattan,upper east side,40.77247,-73.94665,entire home/apt,110,7,12,2016-11-18,0.14,1,0
595321,williamsburg peace for the solo traveler,898980,kelly,brooklyn,williamsburg,40.71316,-73.94532,private room,77,3,5,2018-10-21,0.08,1,0
597624,beautiful apartment in park slope,2954680,onur,brooklyn,park slope,40.67465,-73.97975,entire home/apt,120,4,14,2019-05-20,0.16,1,0
600877,rare loft apt in heart of brooklyn,2973437,kevin + casey,brooklyn,boerum hill,40.68379,-73.98313,entire home/apt,180,3,2,2015-12-29,0.05,1,0
602888,bright ues gem near central park,177724,lauren,manhattan,upper east side,40.76985,-73.95815,entire home/apt,200,2,17,2015-12-07,0.21,1,0
609213,"cozy 1br apart. in prospect hts, bk",3019795,marta,brooklyn,prospect heights,40.67293,-73.96399,entire home/apt,125,5,7,2015-12-31,0.08,1,0
618916,brooklyn carriage house,92451,cath,brooklyn,prospect heights,40.68066,-73.96644,entire home/apt,200,4,11,2019-04-28,0.13,1,0
629774,east village perch!,834185,zachary,manhattan,east village,40.73082,-73.98502,entire home/apt,175,1,17,2015-10-13,0.2,1,0
629855,big room in williamsburg loft,155163,niral,brooklyn,williamsburg,40.71382,-73.94164,private room,85,2,14,2018-10-28,0.19,1,0
633950,1-bd apt in prime soho - nyc- july,2354167,paul,manhattan,soho,40.72625,-74.0018,shared room,195,2,13,2014-04-22,0.16,1,0
637504,private bedroom in a 2-fam house for solo traveler,3179968,tony,queens,sunnyside,40.73607,-73.92439,private room,52,3,1,2018-06-04,0.08,1,0
637716,"nolita, home sweet home in nyc",3181665,cortney,manhattan,nolita,40.72095,-73.99401,entire home/apt,160,4,2,2013-04-03,0.02,1,0
638898,apt near central park & columbia!,1583594,jeffrey,manhattan,upper west side,40.79913,-73.96057,private room,60,2,19,2015-09-23,0.23,1,0
647580,east village hideaway,3247050,moira,manhattan,east village,40.73045,-73.98541,entire home/apt,150,1,11,2013-12-25,0.13,1,0
649903,studio with old-world character,3262771,christina,brooklyn,crown heights,40.67189,-73.93499,entire home/apt,90,7,2,2015-08-25,0.03,1,0
654232,big east village 1bd all the extras,3291022,noel,manhattan,east village,40.72171,-73.98334,entire home/apt,99,3,10,2015-10-24,0.14,1,0
655472,lovely 2-room studio in crown hghts,326329,nick,brooklyn,crown heights,40.67574,-73.95434,entire home/apt,60,3,1,2012-08-25,0.01,1,0
657198,"2br gem in cobble hill, brooklyn",414627,charlotte,brooklyn,columbia st,40.68863,-74.00181,entire home/apt,200,3,15,2018-07-09,0.18,1,0
661814,1 bedroom apt in heart of chelsea,3341426,nika,manhattan,chelsea,40.741,-73.99957,entire home/apt,250,2,10,2016-05-07,0.13,1,0
665394,winning location in hells kitchen,1139222,carl,manhattan,hell's kitchen,40.7589,-73.99015,entire home/apt,220,2,18,2018-12-01,0.24,1,0
666220,beautiful east village apartment,2490963,matteo,manhattan,east village,40.72771,-73.98172,private room,75,5,6,2013-07-11,0.07,1,0
668400,1br in nice 2br apt lovely area,3383354,martina,manhattan,inwood,40.86186,-73.92701,private room,50,7,1,2015-07-16,0.02,1,0
679633,cozy 1 bedroom apartment in nyc,3458785,glauce,queens,ditmars steinway,40.77987,-73.91565,entire home/apt,75,3,1,2012-09-18,0.01,1,0
690675,quirky sunny retreat central williamsburg,2172525,slava,brooklyn,williamsburg,40.71407,-73.95336,entire home/apt,199,7,4,2018-08-10,0.09,1,0
698882,the serenity room in historic bklyn,2994135,devin  & justin,brooklyn,cobble hill,40.68902,-73.99517,private room,69,2,13,2016-12-31,0.37,1,0
703745,great apt in the heart of e village,3597177,ori,manhattan,east village,40.72225,-73.98496,entire home/apt,130,7,11,2016-10-02,0.14,1,0
716169,feel the brooklyn love!,2055073,melissa,brooklyn,fort greene,40.68811,-73.97236,entire home/apt,93,4,1,2015-05-14,0.02,1,0
720274,nice studio apartment in brooklyn!,3717536,adam,brooklyn,crown heights,40.67471,-73.95324,entire home/apt,100,5,9,2017-04-16,0.11,1,0
727964,garden pl historical artist studio,3493470,tari,brooklyn,brooklyn heights,40.69127,-73.99552,entire home/apt,160,1,17,2016-03-15,0.21,1,0
731316,"sunny & clean apt, ideal location",3805397,christa,manhattan,chelsea,40.74092,-74.00037,entire home/apt,140,1,6,2016-05-25,0.07,1,0
735890,"homey, clean studio- east village",3839667,hallie,manhattan,east village,40.72369,-73.9894,entire home/apt,120,7,6,2018-01-02,0.08,1,0
744228,"entire gorgeous,cozy,light two bed",192750,charlotte,manhattan,harlem,40.80145,-73.95572,entire home/apt,150,1,2,2013-01-05,0.03,1,0
747419,"lovely, sunny 1-bedroom apt with kitcat",160565,corina,brooklyn,bedford-stuyvesant,40.68371,-73.95604,entire home/apt,90,1,3,2015-07-06,0.06,1,0
749896,"1 bed williamsburg apt, amazing loc",3941862,phil,brooklyn,williamsburg,40.7189,-73.95725,entire home/apt,175,3,3,2016-10-15,0.05,1,0
749965,charming brooklyn abode,3905456,amber,brooklyn,flatbush,40.64294,-73.96016,entire home/apt,110,1,3,2016-08-21,0.05,1,0
752366,"big, close to subway, 3 stops from the city",3956850,dana,queens,astoria,40.75583,-73.91839,entire home/apt,89,3,17,2019-03-15,0.31,1,0
755703,room: king size bed + private bath,3977693,oliver,brooklyn,bushwick,40.70118,-73.92826,private room,55,3,10,2015-10-27,0.15,1,0
756892,clean bright midtown studio by park,3731320,sara,manhattan,midtown,40.75982,-73.96521,entire home/apt,125,4,3,2015-04-28,0.04,1,0
757007,zen holiday getaway,2124690,chanelle,brooklyn,bedford-stuyvesant,40.68444,-73.95692,entire home/apt,175,7,1,2015-05-23,0.02,1,0
763600,"private 2br / east williamsburg, bk",3891399,anthony,brooklyn,williamsburg,40.70369,-73.93284,private room,75,3,2,2014-11-03,0.03,1,0
767967,studio in chelsea,3949235,lior,manhattan,chelsea,40.75039,-74.00287,entire home/apt,105,7,2,2019-03-19,0.5,1,0
767983,gorgeous williamsburg apt + balcony,4048448,miki & yacine,brooklyn,williamsburg,40.71435,-73.95073,entire home/apt,200,3,4,2015-12-31,0.05,1,0
769279,room for rent in east village,1228080,sasha,manhattan,east village,40.72439,-73.97767,private room,100,7,1,2016-05-01,0.03,1,0
770514,"studio in flatiron, nyc !!",4064804,niki,manhattan,flatiron district,40.73997,-73.98789,entire home/apt,195,1,1,2014-09-22,0.02,1,0
770960,cozy 1 br in prospect heights,4067211,stephane & hana,brooklyn,prospect heights,40.67453,-73.96759,entire home/apt,155,3,13,2016-04-21,0.16,1,0
782063,cozy apartment steps to subway,4125000,joseph,brooklyn,bedford-stuyvesant,40.68191,-73.95475,entire home/apt,119,5,7,2016-04-23,0.09,1,0
784088,1 bed apt in utopic williamsburg,1506795,anthony,brooklyn,williamsburg,40.71188,-73.9608,entire home/apt,155,2,8,2014-04-28,0.1,1,0
785978,for cat lovers - east village 1 bdr,953375,wiebke,manhattan,east village,40.72762,-73.98218,entire home/apt,135,5,18,2016-11-13,0.24,1,0
786727,xmas in nyc!!!,4147608,alison,manhattan,harlem,40.81915,-73.93964,entire home/apt,100,7,11,2015-09-07,0.18,1,0
792142,studio available on upper east side,4173419,meredith,manhattan,upper east side,40.76553,-73.96262,entire home/apt,150,2,4,2015-06-09,0.06,1,0
796232,"cozy apt in bushwick, brooklyn!",4194142,alexandra,brooklyn,bushwick,40.70308,-73.92765,entire home/apt,115,4,12,2018-09-21,0.18,1,0
796490,park slope house -private room -1 block from metro,4107826,mike,brooklyn,south slope,40.66882,-73.98841,private room,65,5,5,2016-09-28,0.14,1,0
798128,large one-bed apt upper east side,4160649,alex,manhattan,upper east side,40.77483,-73.94674,entire home/apt,175,3,1,2017-01-03,0.03,1,0
799924,"big loft in bushwick: unfurnished, longterm sublet",2291000,tommy,brooklyn,williamsburg,40.70538,-73.92946,entire home/apt,163,1,3,2016-06-27,0.04,1,0
802677,large & elegant pre-war one bedroom,4224513,adam,manhattan,upper west side,40.78592,-73.97775,entire home/apt,173,4,16,2018-11-10,0.2,1,0
804194,large but cosy bushwick apartment,4232762,sigfus,brooklyn,williamsburg,40.70747,-73.93879,entire home/apt,275,7,2,2016-01-07,0.03,1,0
804388,cute studio apt in a mansion (1882),4233879,karen,brooklyn,clinton hill,40.68631,-73.96802,entire home/apt,63,5,5,2015-11-14,0.06,1,0
804911,sunny apartment in carroll gardens,2373697,doug,brooklyn,carroll gardens,40.68216,-73.99504,entire home/apt,130,5,2,2015-06-26,0.04,1,0
805028,"boerum hill, entire home / loft",1131081,patrick,brooklyn,boerum hill,40.68418,-73.98039,entire home/apt,200,4,13,2019-01-04,0.22,1,0
807882,apt in heart of williamsburg,4250697,brandon,brooklyn,williamsburg,40.71986,-73.95925,entire home/apt,149,4,1,2013-06-30,0.01,1,0
808313,sunny east village studio apartment,4252788,suzana,manhattan,east village,40.72721,-73.98411,entire home/apt,200,7,3,2015-11-13,0.04,1,0
810681,city view from brooklyn– 2bd+2bth,2184470,said,brooklyn,clinton hill,40.69319,-73.96351,entire home/apt,250,5,2,2017-01-01,0.03,1,0
811347,west village 1-br gem - great price,4255199,bryan,manhattan,west village,40.73713,-74.00232,entire home/apt,240,7,7,2018-07-24,0.1,1,0
814911,tasteful design + space forever,4281123,albert,brooklyn,bushwick,40.6916,-73.92294,private room,55,2,2,2019-05-12,0.03,1,0
816673,very cool entire apartment | bushwick,4289709,elise,brooklyn,bushwick,40.69764,-73.93084,entire home/apt,65,7,4,2017-04-01,0.09,1,0
820946,charm&quiet in hip greenpt brooklyn,4311270,annie,brooklyn,greenpoint,40.73319,-73.95623,private room,110,1,4,2017-12-28,0.18,1,0
824421,central williamsburg fab large room,4328005,dina,brooklyn,williamsburg,40.71622,-73.96042,private room,70,1,8,2015-01-07,0.1,1,0
829083,"steps from art, shopping & eats",4345735,jennifer,brooklyn,prospect heights,40.67378,-73.96471,entire home/apt,150,3,11,2014-12-26,0.14,1,0
832596,spacious 1 br near the water ues,1723222,nick,manhattan,upper east side,40.77613,-73.94872,entire home/apt,250,4,1,2016-05-24,0.03,1,0
837430,ground floor studio with backyard,252365,eileen,manhattan,east village,40.7225,-73.98267,entire home/apt,130,5,4,2015-01-03,0.05,1,0
